sigma_mhz,adam_fidelity_raw,adam_fidelity_ewma,adam_variance_raw,adam_variance_ewma,nominal_fidelity_raw,nominal_fidelity_ewma,nominal_variance_raw,nominal_variance_ewma,noise_fidelity_raw,noise_fidelity_ewma,noise_variance_raw,noise_variance_ewma
0.179,0.9851253006259224,0.9851525581248205,5.695040240748719e-06,3.5938790034653783e-06,0.9940831644099402,0.9944503800075937,3.7955847519058577e-06,2.37703287569959e-06,0.9981635705350672,0.9983460438669953,6.146716932337769e-07,4.2789057693485986e-07
0.18,0.9850186619629232,0.9851470933661668,6.030756199929887e-06,3.6631974545046036e-06,0.9941240474674036,0.9944370612645643,4.184947644571185e-06,2.428460108705397e-06,0.9980593930505208,0.9983343446703367,6.043529400056717e-07,4.3291015596516007e-07
0.181,0.9849052931501152,0.9851372404176192,7.733737111716724e-06,3.7785533511170858e-06,0.9940426343008086,0.9944209890350059,4.203753861137382e-06,2.4787705392153876e-06,0.9979617699083718,0.9983191628809251,8.303087709485699e-07,4.4417212057045446e-07
0.182,0.9846505980089422,0.9851174409102026,5.579787125188912e-06,3.829413371409273e-06,0.9939916469873852,0.9944035208470622,4.29293714891836e-06,2.5299957338076036e-06,0.9981540417849462,0.9983124447727082,3.724241198324709e-07,4.421462287478685e-07
0.183,0.984717019828678,0.9851011733167722,7.377024094606477e-06,3.929230625329263e-06,0.9939757192581,0.9943861408872168,4.201028984863178e-06,2.577012716036995e-06,0.998134658440807,0.9983052219867503,5.621780459010661e-07,4.455235007503786e-07
0.184,0.9845411949754764,0.9850784555596858,6.700547852993955e-06,4.006938007264362e-06,0.9937846635033932,0.9943617395557883,4.093797348773387e-06,2.619543163866188e-06,0.9981591655186992,0.9982992966230043,6.536596489681509e-07,4.5135961182514287e-07
0.185,0.984718491367044,0.9850638719112221,3.431227818431022e-06,3.990849041065455e-06,0.9941063307030696,0.9943513918795508,3.572260263828301e-06,2.646168076045481e-06,0.9980001533386326,0.9982871770828149,7.57463518979367e-07,4.599140816106058e-07
0.186,0.9851407585169912,0.9850669828682956,4.754484750689679e-06,4.0121205915843154e-06,0.9942721842196316,0.9943481870088529,3.099444576394797e-06,2.658794376589935e-06,0.9981281771600716,0.998280743687435,5.110389066083925e-07,4.613381956010889e-07
0.187,0.9853215080815412,0.9850772685568904,5.491256486436719e-06,4.0531928837427735e-06,0.9942254615835818,0.9943432275178425,2.9359416971023183e-06,2.6664901371746335e-06,0.998080594439152,0.9982726554009582,5.095055905992905e-07,4.626756963180703e-07
0.188,0.9852552112242524,0.9850844508600142,7.235731310058964e-06,4.141293816467055e-06,0.9942332283277632,0.9943387876185298,2.98902516573383e-06,2.6754187447972e-06,0.9980374547595852,0.9982631619931865,5.590149128853835e-07,4.653426161476389e-07
0.189,0.9850053905056924,0.9850812634025643,6.1227549961590405e-06,4.19598222411993e-06,0.9939854239604085,0.9943245411402004,3.4828050639409733e-06,2.6977026394337588e-06,0.9980404848293312,0.9982541843710785,6.943715261867833e-07,4.716638232067957e-07
0.19,0.9848253716307755,0.985070958022029,5.257935226795891e-06,4.225207163331957e-06,0.9939763221872836,0.9943105175207838,3.4219738933037584e-06,2.7176345792785843e-06,0.9981588921142712,0.9982503467214284,6.24068073857636e-07,4.758579871196071e-07
0.191,0.9848890141530056,0.9850636384372258,5.466652574280913e-06,4.259275365855656e-06,0.9938321239167544,0.9942912717909177,4.2409830485047495e-06,2.759438869427833e-06,0.9980055917167878,0.9982405002505245,8.132097729062447e-07,4.851157191620699e-07
